customer_id,country,city,customer_type,gender,senior_citizen,partner,dependents,tenure_months,contract,monthly_charge,total_charges,cltv,complaint_count,payment_delay_days,roaming_usage,app_logins,network_quality_score,avg_monthly_data_usage_gb,customer_health_score,risk_segment,churn_label,customer_value_segment,cltv_segment
3658-KIBGF,UAE,Dubai,SME,Female,No,No,No,1,Month-to-month,54.9,54.9,2833.0,4,15,,30,6.0,60,77.0,High Risk,Yes,Low Value,Low CLTV
4797-AXPXK,Saudi Arabia,Dammam,SME,Female,No,No,Yes,1,Month-to-month,60.0,60.0,4531.0,3,15,,30,7.0,60,84.0,High Risk,Yes,Medium Value,Medium CLTV
9526-BIHHD,Saudi Arabia,Riyadh,Individual,Male,No,No,No,1,Month-to-month,29.7,29.7,3383.0,4,15,,20,6.0,60,77.0,High Risk,Yes,Low Value,Low CLTV
0032-PGELS,Saudi Arabia,Riyadh,Individual,Female,No,Yes,Yes,1,Month-to-month,30.5,30.5,5171.0,4,15,,20,6.0,60,77.0,High Risk,Yes,High Value,High CLTV
6772-KSATR,UAE,Sharjah,SME,Male,No,No,No,1,Month-to-month,81.7,81.7,5574.0,4,15,,20,6.0,150,77.0,High Risk,Yes,High Value,High CLTV
7181-BQYBV,UAE,Dubai,Individual,Female,No,Yes,No,1,Month-to-month,102.45,102.45,4811.0,4,15,,20,6.0,220,77.0,High Risk,Yes,Medium Value,Medium CLTV
7903-CMPEY,Saudi Arabia,Riyadh,SME,Male,Yes,Yes,No,1,Month-to-month,80.3,80.3,4138.0,4,15,,20,6.0,150,77.0,High Risk,Yes,Medium Value,Medium CLTV
0322-YINQP,Saudi Arabia,Dammam,Individual,Male,No,No,No,1,Month-to-month,48.55,48.55,5687.0,4,15,,20,6.0,60,77.0,High Risk,Yes,High Value,High CLTV
1794-HBQTJ,Oman,Salalah,Individual,Female,No,No,No,1,Month-to-month,48.6,48.6,4207.0,4,15,,20,6.0,60,77.0,High Risk,Yes,Medium Value,Medium CLTV
2947-DOMLJ,Kuwait,Kuwait City,SME,Male,No,No,Yes,1,Month-to-month,50.6,50.6,3677.0,4,15,,20,6.0,60,77.0,High Risk,Yes,Medium Value,Medium CLTV
2722-JMONI,Kuwait,Kuwait City,Individual,Female,Yes,Yes,No,1,Month-to-month,49.55,49.55,4989.0,4,15,,20,6.0,60,77.0,High Risk,Yes,Medium Value,Medium CLTV
4201-JMNGR,Kuwait,Kuwait City,SME,Female,Yes,No,No,1,Month-to-month,55.8,55.8,5527.0,4,15,,20,6.0,60,77.0,High Risk,Yes,High Value,High CLTV
6390-DSAZX,UAE,Abu Dhabi,SME,Female,No,No,No,1,Month-to-month,73.6,73.6,2565.0,4,15,,20,6.0,150,77.0,High Risk,Yes,Low Value,Low CLTV
6356-ELRKD,UAE,Abu Dhabi,Individual,Female,No,No,No,1,Month-to-month,95.6,95.6,4091.0,4,15,,20,6.0,220,77.0,High Risk,Yes,Medium Value,Medium CLTV
3627-FHKBK,Saudi Arabia,Dammam,SME,Female,No,No,No,1,Month-to-month,75.3,75.3,3244.0,4,15,,20,6.0,150,77.0,High Risk,Yes,Low Value,Low CLTV
0684-AOSIH,UAE,Abu Dhabi,Individual,Male,No,Yes,No,1,Month-to-month,95.0,95.0,4489.0,4,15,,20,6.0,220,77.0,High Risk,Yes,Medium Value,Medium CLTV
8937-RDTHP,Saudi Arabia,Riyadh,SME,Male,No,No,Yes,1,Month-to-month,84.6,84.6,2484.0,4,15,,20,6.0,150,77.0,Medium Risk,Yes,Low Value,Low CLTV
9732-KPKBW,Saudi Arabia,Dammam,SME,Male,No,No,No,1,Month-to-month,53.95,53.95,2771.0,3,15,,20,7.0,60,84.0,High Risk,Yes,Low Value,Low CLTV
1066-JKSGK,Bahrain,Muharraq,Individual,Male,No,No,No,1,Month-to-month,20.15,20.15,4832.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
8329-IBCTI,Saudi Arabia,Jeddah,Individual,Female,No,No,No,1,Month-to-month,19.65,19.65,5881.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
7239-HZZCX,UAE,Dubai,Individual,Male,No,No,No,1,Month-to-month,19.75,19.75,4851.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
5356-RHIPP,Saudi Arabia,Dammam,Individual,Male,No,No,No,1,Month-to-month,20.2,20.2,5355.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
6121-VZNQB,Qatar,Al Wakrah,Individual,Female,No,No,No,1,Month-to-month,19.1,19.1,5890.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
7434-SHXLS,UAE,Dubai,Individual,Female,No,No,No,1,Month-to-month,20.9,20.9,5421.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
4760-XOHVN,Qatar,Al Wakrah,Individual,Female,No,Yes,Yes,1,Month-to-month,19.45,19.45,2865.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
4786-UKSNZ,Kuwait,Kuwait City,Individual,Male,No,No,No,1,Month-to-month,20.2,20.2,5418.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
1000-AJSLD,UAE,Abu Dhabi,Individual,Male,No,No,No,1,Month-to-month,20.1,20.1,4389.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,Medium Value,Medium CLTV
4800-VHZKI,UAE,Abu Dhabi,Individual,Female,No,No,No,1,Month-to-month,19.9,19.9,3351.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
7989-CHGTL,Saudi Arabia,Dammam,Individual,Male,No,No,No,1,Month-to-month,19.6,19.6,3448.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
1029-QFBEN,Saudi Arabia,Riyadh,Individual,Male,No,No,No,1,Month-to-month,19.55,19.55,3556.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,Medium Value,Medium CLTV
3900-AQPHZ,UAE,Abu Dhabi,Individual,Female,No,No,No,1,Month-to-month,19.9,19.9,4248.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
1725-MIMXW,Oman,Muscat,Individual,Male,No,No,No,1,Month-to-month,19.45,19.45,5687.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
1934-SJVJK,Saudi Arabia,Riyadh,Individual,Male,No,No,No,1,Month-to-month,20.15,20.15,4103.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,Medium Value,Medium CLTV
7551-JOHTI,Oman,Sohar,Individual,Female,No,No,No,1,Month-to-month,19.5,19.5,5211.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
